id, name, img, num_people, detail
10035, 成都, http:\/\/n1-q.mafengwo.net\/s8\/M00\/A5\/44\/wKgBpVYfRkqAIeUVAAIhvcm_97Y75.jpeg?imageMogr2%2Fthumbnail%2F%21320x200r%2Fgravity%2FCenter%2Fcrop%2F%21320x200%2Fquality%2F90, 41565, 成都位于中国西南地区。地处全川中心，是四川省政治、经济、文化的核心。成都别称“蓉城”，平原沃野千里，依仗都江堰的水利工程，自古以来富足丰饶，拥“天府之国”之美誉。成都的茶馆之多或可称得上世界之最。成都夜生活实在丰富，完全符合“不夜城”的称号。
10061, 稻城, http:\/\/b1-q.mafengwo.net\/s5\/M00\/EB\/6C\/wKgB3FEKKFOAB8vHAA48C0nVPeQ38.jpeg?imageMogr2%2Fthumbnail%2F%21320x200r%2Fgravity%2FCenter%2Fcrop%2F%21320x200%2Fquality%2F90, 4610, 稻城地处青藏高原东南部，位于中国四川省西南边缘，横断山脉东侧。属康巴藏区的甘孜藏族自治州。其中藏族占96%以上，此外有汉、纳西、回、彝等民族。稻城景色憾人心魄，1145个高山湖泊散落于嶙峋乱石间，碧蓝如玉，景色极为壮观，因而被誉为“最后的香巴拉”。
10136, 九寨沟, http:\/\/p1-q.mafengwo.net\/s7\/M00\/D2\/DC\/wKgB6lSiDL2AYHqQAAn1eisORm8596.png?imageMogr2%2Fthumbnail%2F%21320x200r%2Fgravity%2FCenter%2Fcrop%2F%21320x200%2Fquality%2F90, 19705, 九寨沟位于四川省阿坝藏族羌族自治州九寨沟县漳扎镇，沟内分布108个湖泊。九寨沟四季景色迷人。动植物资源丰富，种类繁多，原始森林遍布，栖息着大熊猫等十多种稀有和珍贵野生动物。被誉为“美丽的童话世界”。 水是九寨沟景观的主角。碧绿晶莹的溪水好似项链般穿插于森林与浅滩之间。色彩斑斓的湖泊和气势宏伟的瀑布令人目不暇接。
10011, 色达, http:\/\/p1-q.mafengwo.net\/s7\/M00\/FC\/D2\/wKgB6lSiQbmAT8wLAAg4KT3uKcg611.png?imageMogr2%2Fthumbnail%2F%21320x200r%2Fgravity%2FCenter%2Fcrop%2F%21320x200%2Fquality%2F90, 2839, 色达位于甘孜藏自治州西北部，东邻阿坝藏羌族自治州壤塘县，北与青海省班玛、达日两县接壤，西、南海拔4127米，辖4区2镇15乡、66个行政村，大部分从事畜牧业生产。色达有著名的喇荣寺五明佛学院，五明佛学院是世界上最大的佛学院，具有悠久的历史气息。
10143, 峨眉山, http:\/\/n1-q.mafengwo.net\/s7\/M00\/E3\/FB\/wKgB6lSiIkaARiSuAAg0bdkOyTk522.png?imageMogr2%2Fthumbnail%2F%21320x200r%2Fgravity%2FCenter%2Fcrop%2F%21320x200%2Fquality%2F90, 14152, 峨眉山是中国佛教四大名山之一，位于中国四川省峨眉山市境内，地势陡峭，风景秀丽，有“秀甲天下”之美誉。当地气候多样，植被丰富，共有3000多种植物，其中包括世界上稀有的树种，山路沿途有较多猴群，常结队向游人讨食，为峨眉一大特色。与此同时，峨眉山是上古学仙修道圣地之，有寺庙约26座，重要的有八大寺庙，佛事频繁。
10091, 亚丁, http:\/\/n1-q.mafengwo.net\/s6\/M00\/E0\/A8\/wKgB4lKPQ0uABTxUABrQ9BtquLg50.jpeg?imageMogr2%2Fthumbnail%2F%21320x200r%2Fgravity%2FCenter%2Fcrop%2F%21320x200%2Fquality%2F90, 2226, 说在青藏高原雪山深处的一个隐秘地方，有一个被双层雪山环抱王国，那里有雪山、冰川、峡谷、森林、草甸、湖泊、金矿及纯净的空气，这个王国就是香巴拉王国，被称为水蓝色的星球上的最后一片净土，也就是今天的稻城亚丁。在稻城亚丁，极目远跳，天地浩瀚无垠，乱石铺天盖地，憾人心魄，1145个高山湖泊散落于嶙峋乱石间，碧蓝如玉，景色极为壮观，因而稻城亚丁被誉为最后的香巴拉。
10236, 甘孜, http:\/\/n1-q.mafengwo.net\/s8\/M00\/73\/69\/wKgBpVW_Mt6AFr9PAAyHoZrkblM24.jpeg?imageMogr2%2Fthumbnail%2F%21320x200r%2Fgravity%2FCenter%2Fcrop%2F%21320x200%2Fquality%2F90, 4194, 甘孜位于雅砻江上游。“甘孜县境内的景点包括，雅安贡嘎雪山，稻城亚丁神山，九龙梅地贡嘎山，塔公雅拉雪山，巴塘措普沟，康区著名的寺庙—南无寺等。传说甘孜城的西北坡有一块形如绵羊的白玉，毛泽洁白无瑕，阳光照射下闪闪发亮，光彩夺目，十分美丽。甘孜县境内有鹿茸、麝香、贝母、虫草等名贵药材和鹿、水獭、马鸡等珍贵动物。
11942, 川西, http:\/\/n1-q.mafengwo.net\/s7\/M00\/D4\/94\/wKgB6lSiDyeAS0dXAALEAyYdwqM55.jpeg?imageMogr2%2Fthumbnail%2F%21320x200r%2Fgravity%2FCenter%2Fcrop%2F%21320x200%2Fquality%2F90, 1115, 川西指四川西部，多指四川阿坝州甘孜州等地区。这个地区自然风景优美迷人，九寨沟、黄龙、卧龙自然保护区、四姑娘山、米亚罗红叶风景区、九曲黄河十八弯等风景名胜都位于川西地区，是四川省风景最迷人的一个地区，也是旅游和户外的理想去处！
10163, 都江堰, http:\/\/n1-q.mafengwo.net\/s7\/M00\/9F\/06\/wKgB6lSotIGANxFnAAgXWyZOHuM948.png?imageMogr2%2Fthumbnail%2F%21320x200r%2Fgravity%2FCenter%2Fcrop%2F%21320x200%2Fquality%2F90, 15644, 都江堰市被誉为“世界水利文化的鼻祖”；有“青城天下幽”之称的青城山，是中国道教发祥地；青城山·都江堰已成功列入《世界遗产名录》，都江堰市被评为“中国历史文化名城”、“中国优秀旅游城市”，成为世界著名的旅游胜地。都江堰不仅是举世闻名的中国古代水利工程，也是著名的风景名胜区。都江堰附近景色秀丽，文物古迹众多，十分值得游览。
11273, 乐山, http:\/\/n1-q.mafengwo.net\/s7\/M00\/30\/24\/wKgB6lSgy8mAFkZOAAdwacWhrWY733.png?imageMogr2%2Fthumbnail%2F%21320x200r%2Fgravity%2FCenter%2Fcrop%2F%21320x200%2Fquality%2F90, 12604, 乐山位于四川盆地西南部，古称“嘉州”，境内自然资源丰富，江河纵横，拥有岷江、大渡河、青衣江和众多中小河流，乐山、峨眉山等高低山峦，素有“天下山水之观在蜀，蜀之胜曰嘉州”美誉，是一座名副其实的“山水之城”，蜀地胜境。
