des_id, sight_id, name, num_comment, description,summary, phone, site, duration, open_time, location
10035, 5015, 成都大熊猫繁育研究基地, 6085, 距离成都市区最近的大熊猫基地，可与熊猫亲密接触，亲眼感受萌萌可爱的国宝,大熊猫繁育科研机构，完全模拟大熊猫野外生活环境，建有湖泊、溪流、竹林、草坪等，共饲养100多只大熊猫。大门附近有个大熊猫博物馆，可在里面熊猫国邮政局寄出盖有熊猫邮戳的明信片，还可在电影院看有关大熊猫的纪录片。除了大熊猫，还可以看到黑颈鹤、孔雀、鹭鸶等小动物。在月亮产房，有时还可以看到刚出生得小熊猫。, 028-83510033, http://www.panda.org.cn/, 3小时以上, 07:30-18:00；停止售票时间:17:00(1月1日-12月31日周一-周日), 四川省成都市成华区熊猫大道1375号
10035, 87950, 宽窄巷子, 10040, ,由宽巷子、窄巷子和井巷子组成，是成都现存较成规模的清朝古街道。宽巷子集中了整个街区最多最完整的老建筑，在这里可以品碗茶，吃正宗川菜，体验老成都的风土人情。窄巷子既有清末民初的建筑，也有早期西式洋楼，是以西式饮食文化、艺术休闲为主的休闲生活品味区。井巷子是典型的民俗成都缩影，除了引人入胜的砖文化墙，还汇聚了成都特色小吃、民俗玩意儿等。, 028-86259233, http://www.kzxz.com.cn/, 1-3小时, 全天, 四川省成都市青羊区金河路口宽窄巷子
10035, 1242, 锦里, 12186, 西蜀历史上最古老的街道之一，被誉为“西蜀第一街”,锦里是一条仿古商业街，是成都人气最旺景点之一，也是成都武侯祠博物馆的一部分。在这里，你可以欣赏捏泥人、摆糖画的手艺，也可以逛逛极富三国特色的店铺。街里还有各种四川特色小吃，各种茶楼、咖啡馆、酒吧、客栈等随时可落座。黄昏时分，锦里会亮起灯，颇有韵味，适合拍照游玩。, 028-66311313, http://www.cdjinli.com/, 1-3小时, 全天tips:商店开放时间05:00-23:00。, 四川省成都市武侯区武侯祠大街231号附1号
10035, 13732, 都江堰景区, 4344, 建设于古代并使用至今的大型水利工程,是全世界迄今为止，年代最久、唯一留存、以无坝引水为特征的宏大水利工程。主要有鱼嘴分水堤、飞沙堰溢洪道、宝瓶口进水口三大部分构成，一直发挥着防洪灌溉的作用。都江堰附近景色秀丽，文物古迹众多，主要有伏龙观、二王庙、安澜索桥、玉垒关、离堆公园等。, 4001151222;028-87138587;028-82009797, http://www.djy517.com/, 1天, 08:00-17:30(12月1日-次年2月28日周一-周日)08:00-18:00(3月1日-11月30日周一-周日), 四川省成都市都江堰市公园路
10035, 1241, 武侯祠, 4538, 诸葛亮、刘备及蜀汉英雄纪念地,纪念的是蜀国丞相诸葛亮，明朝初年并入汉昭烈庙，也是全国影响最大的三国遗迹博物馆。由惠陵、汉昭烈庙、武侯祠三部分组成。祠内供奉刘备、诸葛亮等蜀汉英雄塑像50尊。武大门、二门、刘备殿、过厅、诸葛亮殿、三义庙等，排列在从南到北的一条中轴线上。, 028-85535951, http://www.wuhouci.net.cn/, 1-3小时, 08:00-20:00；停止售票时间:19:30(5月1日-10月31日周一-周日)08:00-18:30；停止售票时间:17:30(11月1日-次年4月30日周一-周日), 四川省成都市武侯区武侯祠大街231号
10061, 3457, 稻城亚丁, 1973, 摄影爱好者的天堂，被誉为“水蓝色星球上的最后一片净土”,主要由“仙乃日、央迈勇、夏诺多吉”三座神山和周围的河流、湖泊和高山草甸组成。它的景致保持着在地球上近绝迹的纯粹，有着独特的地貌和原生态的自然风光。是名副其实的“香格里拉之魂”，被国际友人誉为“水蓝色星球上的最后一片净土”。鲜花遍野的草场、流水潺潺的小溪、古朴幽深的海子、圣洁高耸的雪峰，从你的全世界路过。, 028-85316020, http://www.yading.cn/, 1天以上, 07:00-17:30；停止售票时间:17:00(1月1日-12月31日周一-周日)tips:开闭园及观光车发车时间可能因季节而变动，详情请参考官网, 四川省甘孜藏族自治州稻城县香格里拉镇稻城亚丁景区
10061, 3492, 海子山自然保护区, 547, 青藏高原最大的古冰体遗址，被称“稻城古冰帽” ，海子和石碓星罗棋布,海子山平均海拔4500米，是青藏高原上最大的古冰体遗迹，以“稻城古冰帽”著称。海子山最独特的景观即是大大小小的砾石构成的石河、石海以及形态各异的冰蚀湖。这里有1145个大小海子闪烁在山间，其规模密度为中国之最，海子山由此得名。, 028-85316020, , 1-3小时, 06:30-16:00(1月1日-12月31日周一-周日), 四川省甘孜藏族自治州稻城县境内，理塘与稻城两县之间
10061, 34700, 央迈勇, 563, 意为“文殊菩萨”，海拔5958米，3座雪山里最难见到的一座,央迈勇藏语意为“文殊菩萨”，海拔5958米，在佛教中排在《三怙主》雪山之首。央迈勇像少女，娴静端庄。站在峰尖，转身向后望去，群山环绕着的宽阔峡谷间，森林、草地、溪流和谐地各守一方，气势莽莽。, 028-85316020, , 1-3小时, 07:00-18:30；停止售票时间:18:30；停止入场时间:18:30(1月1日-12月31日周一-周日), 四川省甘孜藏族自治州稻城县日瓦乡亚丁
10061, 2436836, 香格里拉镇, 165, ,香格里拉镇位于四川省甘孜藏族自治州稻城县城南部71公里。北与赤土、巨龙乡相连，南邻各卡乡，东与蒙自、俄牙同乡和木里县水洛乡交界，西与木拉乡接壤。境内有风景优美的亚丁国家级自然保护区。, 18284386910, , 1-3小时, 全天(1月1日-12月31日周一-周日), 四川省甘孜藏族自治州稻城县香格里拉镇
10061, 2425629, 稻城县城, 257, ,稻城县位于中国四川省西南边缘，甘孜州南部。地处青藏高原东南部，横断山脉东侧。属康巴藏区的甘孜藏族自治州。东与九龙县相接，西与乡城县相邻，北接理塘县，南与木里藏族自治县接壤，西南与云南迪庆藏族自治州相邻。, 0836-5728227, http://www.daocheng.gov.cn/, 3小时以上, 全天(1月1日-12月31日周一-周日), 四川省甘孜藏族自治州稻城县
